SbjCode,Country,Units,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
NGDPD,Germany,U.S. dollars,"1,945.80","2,077.02","2,501.01","2,813.08","2,848.44","2,994.86","3,425.98","3,744.85","3,407.56","3,402.44","3,748.66","3,529.38","3,733.86","3,890.10","3,357.93","3,468.90","3,689.55","3,976.25","3,889.61","3,884.62","4,281.35","4,085.68"
NGDPD,India,U.S. dollars,493.953,523.97,618.358,721.589,834.217,949.117,"1,238.70","1,224.10","1,365.37","1,708.46","1,823.05","1,827.64","1,856.72","2,039.13","2,103.59","2,294.80","2,651.47","2,702.93","2,835.61","2,671.60","3,150.31","3,389.69"
NGDP_RPCH,India,Percent change,4.944,3.907,7.944,7.849,9.285,9.264,9.801,3.891,8.48,10.26,6.638,5.456,6.386,7.41,7.996,8.256,6.795,6.454,3.871,-5.831,9.05,7.24
NGDPDPC,India,U.S. dollars,457.8,477.068,553.382,635.054,722.492,809.568,"1,041.19","1,014.39","1,115.83","1,377.11","1,449.60","1,434.02","1,438.06","1,559.86","1,590.17","1,714.28","1,957.97","1,974.38","2,050.16","1,913.22","2,238.13","2,391.87"
PPPSH,India,Percent,4.101,4.145,4.3,4.406,4.597,4.771,4.971,5.015,5.464,5.719,5.866,6.101,6.123,6.179,6.392,6.65,6.758,6.947,7.024,6.82,6.999,7.264
NID_NGDP,India,Percent of GDP,24.244,24.75,26.831,32.818,34.65,35.659,38.114,34.305,36.48,36.502,39.59,38.348,34.024,34.268,32.117,30.172,30.982,32.343,30.096,28.752,31.225,31.042
NGSD_NGDP,India,Percent of GDP,24.932,25.961,29.109,32.476,33.463,34.651,36.843,32.025,33.665,33.701,35.402,33.541,32.286,32.954,31.067,29.547,29.147,30.228,29.23,29.651,29.997,29.066
PCPIPCH,India,Percent change,4.311,3.981,3.864,3.824,4.404,6.697,6.204,9.089,12.314,10.528,9.5,10,9.4,5.8,4.9,4.5,3.602,3.428,4.762,6.175,5.507,6.661
TM_RPCH,India,Percent change,-0.893,12.442,8.525,35.839,16.645,11.5,18.803,3.501,6.68,16.207,10.622,1.493,-3.483,5.943,0.79,4.421,13.551,4.064,-3.965,-13.866,20.308,10.069
TX_RPCH,India,Percent change,2.413,17.719,16.24,27.035,17.903,15.956,18.476,7.13,-5.505,27.25,12.938,0.148,4.802,4.19,-5.12,6.658,10.159,4.901,-2.255,-6.56,19.999,9.681
LUR,India,Percent of total labor force,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LE,India,Persons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LP,India,Persons,"1,078.97","1,098.31","1,117.42","1,136.27","1,154.64","1,172.37","1,189.69","1,206.74","1,223.64","1,240.61","1,257.62","1,274.49","1,291.13","1,307.25","1,322.87","1,338.64","1,354.20","1,369.00","1,383.11","1,396.39","1,407.56","1,417.17"
GGR_NGDP,India,Percent of GDP,16.946,17.732,18.195,18.897,19.062,20.338,21.962,19.708,18.518,18.821,19.291,19.814,19.6,19.149,19.854,20.113,20.004,19.952,19.152,18.177,19.876,19.387
GGX_NGDP,India,Percent of GDP,27.788,28.613,29.426,27.959,26.431,26.659,26.467,28.69,28.052,27.447,27.641,27.364,26.6,26.22,27.059,27.233,26.232,26.328,26.846,31.057,29.475,28.622
GGXCNL_NGDP,India,Percent of GDP,-10.843,-10.881,-11.231,-9.062,-7.368,-6.321,-4.505,-8.982,-9.534,-8.626,-8.349,-7.55,-7,-7.071,-7.205,-7.12,-6.227,-6.376,-7.694,-12.88,-9.599,-9.235
GGSB_NPGDP,India,Percent of potential GDP,-10.868,-10.31,-10.903,-8.782,-7.358,-6.534,-5.126,-8.559,-9.299,-9.054,-8.562,-7.286,-6.527,-6.641,-7.005,-7.406,-6.22,-6.819,-7.618,-9.127,-8.714,-9.269
GGXONLB_NGDP,India,Percent of GDP,-6.336,-6.121,-6.386,-4.141,-2.445,-1.472,0.26,-4.32,-4.965,-4.41,-4.003,-3.191,-2.439,-2.574,-2.684,-2.519,-1.496,-1.671,-3.001,-7.265,-4.438,-4.134
GGXWDN_NGDP,India,Percent of GDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GGXWDG_NGDP,India,Percent of GDP,78.73,82.851,84.403,83.427,81.012,77.214,74.117,72.837,71.518,66.4,68.648,67.985,67.713,67.102,69.049,68.943,69.669,70.392,75.04,88.534,83.752,81.016
